Zinédine Zidane   |5 1 1 5 5 1 5 1 4 1 5 2 5 5 5 2 5 1 5 5 1 1 5 3 -1 
Teddy Riner       |5 1 1 5 5 3 5 1 1 1 5 1 5 1 5 2 5 1 5 5 1 1 5 3 -1
Cristiano Ronaldo |5 1 1 5 5 1 5 1 1 2 2 5 3 4 1 5 1 5 1 5 1 5 5 5 -1
Lionel Messi      |5 1 1 5 5 1 5 1 1 5 1 5 1 2 1 5 1 5 1 5 1 5 5 5 -1
Rafael Nadal      |5 1 1 5 5 1 5 1 2 1 5 2 4 2 4 2 5 1 5 5 1 5 5 5 -1
Roger Federer     |5 1 1 5 5 1 5 1 2 1 5 2 4 2 5 1 5 1 5 5 1 5 5 5 -1
Albert Einstein   |5 1 5 5 5 1 5 1 5 5 5 4 2 1 5 5 3 3 5 2 5 5 5 2 -1
Marie Curie       |5 1 5 5 1 1 5 2 5 4 5 1 5 1 1 3 3 3 5 4 5 1 3 2 -1
Jamy Gourmaud     |5 1 1 5 5 1 5 2 5 5 2 1 2 5 5 1 5 1 3 4 5 1 5 1 -1
Stephen Hawking   |5 1 5 5 5 1 5 1 5 5 1 5 1 5 5 2 5 1 4 4 5 5 5 1 -1
Rick Sanchez      |1 5 2 5 5 1 5 2 5 1 5 4 2 2 3 3 5 1 4 4 4 5 5 4 -1
Donald Trump      |5 1 1 5 5 1 5 1 5 1 5 1 5 2 1 5 5 1 2 1 4 5 3 5 -1
Emmanuel Macron   |5 1 1 5 5 1 5 2 2 4 2 5 2 5 5 1 1 5 4 1 5 1 5 5 -1
Vladimir Poutine  |5 1 1 5 5 1 4 1 5 5 1 4 2 5 2 2 1 5 5 1 2 5 5 5 -1
Elisabeth 2       |5 1 1 5 1 1 5 1 5 5 1 5 1 2 3 3 5 1 4 1 5 5 5 2 -1
Cléopâtre         |5 1 5 1 1 2 5 1 2 5 2 5 2 2 5 1 5 1 4 1 5 5 5 5 -1 
Mickey            |1 5 1 5 5 5 5 1 1 5 1 5 1 5 5 2 5 1 2 5 2 5 5 4 -1
Mario             |1 1 1 5 5 1 5 1 2 5 2 2 4 4 5 1 1 5 4 4 2 5 5 5 -1
Bob l'éponge      |1 5 1 5 5 5 5 1 1 5 1 5 1 5 2 5 5 1 4 5 4 5 3 4 -1
